 Big table from tha "Appendix D" of the PDF reference

 name          std mac win pdf
------------------------------
A              101 101 101 101
AE             341 256 306 306
Aacute             347 301 301
Acircumflex        345 302 302
Adieresis          200 304 304
Agrave             313 300 300
Aring              201 305 305
Atilde             314 303 303
B              102 102 102 102
C              103 103 103 103
Ccedilla           202 307 307
D              104 104 104 104
E              105 105 105 105
Eacute             203 311 311
Ecircumflex        346 312 312
Edieresis          350 313 313
Egrave             351 310 310
Eth                    320 320
Euro                   200 240
F              106 106 106 106
G              107 107 107 107
H              110 110 110 110
I              111 111 111 111
Iacute             352 315 315
Icircumflex        353 316 316
Idieresis          354 317 317
Igrave             355 314 314
J              112 112 112 112
K              113 113 113 113
L              114 114 114 114
Lslash         350         225
M              115 115 115 115
N              116 116 116 116
Ntilde             204 321 321
O              117 117 117 117
OE             352 316 214 226
Oacute             356 323 323
Ocircumflex        357 324 324
Odieresis          205 326 326
Ograve             361 322 322
Oslash         351 257 330 330
Otilde             315 325 325
P              120 120 120 120
Q              121 121 121 121
R              122 122 122 122
S              123 123 123 123
Scaron                 212 227
T              124 124 124 124
Thorn                  336 336
U              125 125 125 125
Uacute             362 332 332
Ucircumflex        363 333 333
Udieresis          206 334 334
Ugrave             364 331 331
V              126 126 126 126
W              127 127 127 127
X              130 130 130 130
Y              131 131 131 131
Yacute                 335 335
Ydieresis          331 237 230
Z              132 132 132 132
Zcaron                 216 231
a              141 141 141 141
aacute             207 341 341
acircumflex        211 342 342
acute          302 253 264 264
adieresis          212 344 344
ae             361 276 346 346
agrave             210 340 340
ampersand      046 046 046 046
less           074 074 074 074
logicalnot         302 254 254
lslash         370         233
m              155 155 155 155
macron         305 370 257 257
minus                      212
mu                 265 265 265
multiply               327 327
n              156 156 156 156
nine           071 071 071 071
ntilde             226 361 361
numbersign     043 043 043 043
o              157 157 157 157
oacute             227 363 363
ocircumflex        231 364 364
odieresis          232 366 366
oe             372 317 234 234
ogonek         316 376     035
ograve             230 362 362
one            061 061 061 061
onehalf                275 275
onequarter             274 274
onesuperior            271 271
ordfeminine    343 273 252 252
ordmasculine   353 274 272 272
oslash         371 277 370 370
otilde             233 365 365
p              160 160 160 160
paragraph      266 246 266 266
parenleft      050 050 050 050
parenright     051 051 051 051
percent        045 045 045 045
period         056 056 056 056
periodcentered 264 341 267 267
perthousand    275 344 211 213
plus           053 053 053 053
plusminus          261 261 261
q              161 161 161 161
question       077 077 077 077
questiondown   277 300 277 277
quotedbl       042 042 042 042
quotedblbase   271 343 204 214
quotedblleft   252 322 223 215
quotedblright  272 323 224 216
quoteleft      140 324 221 217
quoteright     047 325 222 220
quotesinglbase 270 342 202 221
quotesingle    251 047 047 047
r              162 162 162 162
registered         250 256 256
ring           312 373     036
s              163 163 163 163
scaron                 232 235
section        247 244 247 247
semicolon      073 073 073 073
seven          067 067 067 067
six            066 066 066 066
slash          057 057 057 057
space          040 040 040 040
sterling       243 243 243 243
t              164 164 164 164
thorn                  376 376
three          063 063 063 063
threequarters          276 276
threesuperior          263 263
tilde          304 367 230 037
trademark          252 231 222
two            062 062 062 062
twosuperior            262 262
u              165 165 165 165
uacute             234 372 372
ucircumflex        236 373 373
udieresis          237 374 374
ugrave             235 371 371
underscore     137 137 137 137
v              166 166 166 166
w              167 167 167 167
x              170 170 170 170
y              171 171 171 171
yacute                 375 375
ydieresis          330 377 377
yen            245 264 245 245
z              172 172 172 172
zcaron                 236 236
zero           060 060 060 060


